Date,title,category,account,amount,type
8/11/2024,Karthik,Bills & Fees,Savings Bank,45,EXPENSE
8/10/2024,Juice,Food & Drinks,Cash,40,EXPENSE
8/9/2024,Tire,Transport,Cash,10,EXPENSE
8/7/2024,Baba,Bills & Fees,Savings Bank,200,EXPENSE
8/4/2024,Reward,Bills & Fees,Salary Bank,4,INCOME
8/4/2024,Baba,Bills & Fees,Savings Bank,500,EXPENSE
8/2/2024,Grocery,Bills & Fees,Salary Bank,30,EXPENSE
8/2/2024,Petrol,Transport,Savings Bank,100,EXPENSE
8/2/2024,Adjust balance,,Cash,74,EXPENSE
8/2/2024,Adjust balance,,Savings Bank,102,EXPENSE
8/1/2024,Haircut,Bills & Fees,Savings Bank,152,EXPENSE
8/1/2024,Baba,Bills & Fees,Savings Bank,500,EXPENSE
7/31/2024,Print,Bills & Fees,Savings Bank,22,EXPENSE
7/31/2024,License,Bills & Fees,Savings Bank,300,EXPENSE
7/26/2024,Noodles,Food & Drinks,Savings Bank,70,EXPENSE
7/20/2024,Adjust balance,,Savings Bank,0,INCOME
7/20/2024,Breakfast,Food & Drinks,Cash,30,EXPENSE
7/20/2024,Maa,Bills & Fees,Cash,50,EXPENSE
7/15/2024,Adjust balance,,Cash,3,EXPENSE
7/15/2024,Rent,Bills & Fees,Savings Bank,"3,800.00",EXPENSE
7/14/2024,Grocery,Bills & Fees,Cash,171,EXPENSE
7/14/2024,Grocery,Bills & Fees,Cash,90,EXPENSE
7/12/2024,Adjust balance,,Salary Bank,41,INCOME
7/12/2024,Baba,Bills & Fees,Savings Bank,300,EXPENSE
7/12/2024,Adjust balance,,Cash,50,EXPENSE
7/12/2024,,,Savings Bank,50,EXPENSE
7/10/2024,Maa,Bills & Fees,Cash,50,EXPENSE
7/10/2024,Breakfast,Food & Drinks,Cash,30,EXPENSE
7/7/2024,Breakfast,Food & Drinks,Salary Bank,30,EXPENSE
7/3/2024,Netflix,Bills & Fees,Savings Bank,199,EXPENSE
7/3/2024,Baba,Bills & Fees,Savings Bank,200,EXPENSE
7/2/2024,Lunch,Food & Drinks,Cash,120,EXPENSE
7/1/2024,Baba,Bills & Fees,Savings Bank,500,EXPENSE
7/1/2024,Recharge,Bills & Fees,Savings Bank,259,EXPENSE
7/1/2024,Printouts,Bills & Fees,Salary Bank,13,EXPENSE
7/1/2024,Printouts,Bills & Fees,Cash,42,EXPENSE
6/30/2024,Biryani 🍚,Food & Drinks,Savings Bank,520,EXPENSE
6/30/2024,Breakfast,Food & Drinks,Salary Bank,60,EXPENSE
6/30/2024,Baba,Bills & Fees,Savings Bank,"2,000.00",EXPENSE
6/30/2024,Adjust balance,,Savings Bank,71,INCOME
6/29/2024,Juice,Food & Drinks,Cash,20,EXPENSE
6/29/2024,Cab,Transport,Cash,180,EXPENSE
6/29/2024,Snacks,Food & Drinks,Cash,30,EXPENSE
6/29/2024,Chai,Food & Drinks,Cash,20,EXPENSE
6/29/2024,Recharge,Bills & Fees,Savings Bank,266.9,EXPENSE
6/28/2024,Curd,Food & Drinks,Cash,25,EXPENSE
6/28/2024,Adjust balance,,Cash,30,EXPENSE
6/28/2024,Tea,Food & Drinks,Cash,10,EXPENSE
6/28/2024,Water,Food & Drinks,Cash,10,EXPENSE
6/28/2024,Adjust balance,,Cash,358,EXPENSE
6/27/2024,Water,Food & Drinks,Cash,40,EXPENSE
6/27/2024,Bus,Transport,Cash,20,EXPENSE
6/27/2024,Metro,Transport,Cash,20,EXPENSE
6/27/2024,Haldiram,Food & Drinks,Cash,207,EXPENSE
6/27/2024,Tickets victoria,Bills & Fees,Cash,100,EXPENSE
6/27/2024,Lunch,Food & Drinks,Cash,95,EXPENSE
6/27/2024,Ferry,Transport,Cash,50,EXPENSE
6/27/2024,Baba,Bills & Fees,Cash,500,EXPENSE
6/27/2024,Museum,Bills & Fees,Savings Bank,150,EXPENSE
6/27/2024,Bus,Transport,Cash,20,EXPENSE
6/27/2024,Metro,Transport,Salary Bank,10,EXPENSE
6/27/2024,Grocery,Bills & Fees,Cash,200,EXPENSE
6/27/2024,Withdraw,Bills & Fees,Salary Bank,0,TRANSFER
6/26/2024,Cab,Transport,Salary Bank,200,EXPENSE
6/26/2024,Train,Transport,Salary Bank,20,EXPENSE
6/24/2024,Tickets,Bills & Fees,Salary Bank,20,EXPENSE
6/23/2024,Maa stuff,Bills & Fees,Salary Bank,240,EXPENSE
6/23/2024,Toto,Transport,Salary Bank,20,EXPENSE
6/23/2024,Snacks,Food & Drinks,Salary Bank,70,EXPENSE
6/23/2024,Adjust balance,,Salary Bank,102,EXPENSE
6/23/2024,Snacks,Food & Drinks,Salary Bank,44,EXPENSE
6/23/2024,Shaka pola,Bills & Fees,Salary Bank,600,EXPENSE
6/21/2024,Tickets,Transport,Salary Bank,40,EXPENSE
