Date,amount
2020-01-02,1475.58
2020-01-04,1185.08
2020-01-13,1126.88
2020-01-14,448.68
2020-01-18,1520.03
2020-01-21,1914.85
2020-01-25,1977.47
2020-01-26,1077.09
2020-01-29,166.81
2020-01-30,1158.93
2020-01-31,3601.16
2020-02-02,333.68
2020-02-04,1406.62
2020-02-05,1222.17
2020-02-07,3351.53
2020-02-08,465.81
2020-02-09,1827.14
2020-02-11,433.13
2020-02-13,294.31
2020-02-16,1754.33
2020-02-20,769.42
2020-02-26,1942.45
2020-02-27,1363.76
2020-02-29,1944.06
2020-03-03,1742.33
2020-03-04,1516.0500000000002
2020-03-09,2345.42
2020-03-11,2136.64
2020-03-12,802.96
2020-03-14,1929.08
2020-03-15,1428.77
2020-03-18,881.82
2020-03-21,503.33
2020-03-23,151.28
2020-03-24,144.13
2020-04-01,1341.27
2020-04-05,1449.47
2020-04-06,882.48
2020-04-17,1729.04
2020-04-18,1603.18
2020-04-23,849.54
2020-04-25,1750.23
2020-04-26,1938.3
2020-04-27,2071.61
2020-04-29,764.16
2020-04-30,1853.77
2020-05-01,851.78
2020-05-03,1480.62
2020-05-05,123.76
2020-05-06,269.55
2020-05-12,1318.17
2020-05-13,1870.07
2020-05-14,484.99
2020-05-15,919.88
2020-05-16,28.54
2020-05-17,155.79
2020-05-19,273.59
2020-05-20,1759.75
2020-05-21,881.99
2020-05-25,1227.24
2020-05-27,1339.05
2020-05-28,1878.47
2020-05-30,551.97
2020-05-31,1430.92
2020-06-01,193.67
2020-06-02,97.73
2020-06-05,1277.86
2020-06-06,1107.84
2020-06-07,232.63
2020-06-08,1095.72
2020-06-09,865.28
2020-06-10,2929.74
2020-06-11,3678.51
2020-06-12,1764.02
2020-06-15,540.94
2020-06-18,771.26
2020-06-19,1116.8600000000001
2020-06-21,2587.8599999999997
2020-06-22,86.13
2020-06-24,1459.8
2020-06-30,874.87
2020-07-02,734.8
2020-07-04,1442.31
2020-07-05,1337.12
2020-07-06,1113.28
2020-07-08,818.09
2020-07-11,580.96
2020-07-12,1962.5700000000002
2020-07-13,1321.11
2020-07-17,195.84
2020-07-20,1348.86
2020-07-21,303.23
2020-07-22,3721.4300000000003
2020-07-23,1559.06
2020-07-24,109.93
2020-07-28,2818.94
2020-07-29,1662.83
2020-07-30,1489.87
2020-07-31,1506.04
2020-08-01,2090.42
2020-08-02,1787.12
2020-08-04,1549.68
2020-08-05,3525.53
2020-08-06,959.19
2020-08-08,2590.48
2020-08-09,981.58
2020-08-13,67.76
2020-08-14,1451.12
2020-08-16,1961.64
2020-08-17,1187.87
2020-08-18,1289.07
2020-08-21,2188.13
2020-08-22,3671.29
2020-08-26,1564.65
2020-08-27,1899.73
2020-08-29,1342.22
2020-08-30,935.42
2020-08-31,343.9
2020-09-01,1557.81
2020-09-05,1155.84
2020-09-06,799.34
2020-09-07,1188.27
2020-09-08,212.78
2020-09-11,2442.65
2020-09-16,1700.66
2020-09-17,2290.25
2020-09-18,2170.77
2020-09-22,2360.46
2020-09-23,1047.33
2020-09-25,687.27
2020-09-27,2411.19
2020-09-29,1295.35
2020-09-30,195.18
2020-10-01,619.35
2020-10-03,1111.41
2020-10-04,710.1
2020-10-07,510.29
2020-10-08,2521.45
2020-10-10,462.69
2020-10-12,1279.36
2020-10-14,1746.71
2020-10-15,962.64
2020-10-16,3316.71
2020-10-18,306.9
2020-10-19,179.51
2020-10-23,1216.57
2020-10-24,1553.63
2020-10-26,601.73
2020-10-27,3050.06
2020-10-29,15.32
2020-10-30,589.61
2020-10-31,1408.95
2020-11-01,2704.6099999999997
2020-11-02,1817.74
2020-11-04,128.68
2020-11-06,883.92
2020-11-07,1402.47
2020-11-09,881.14
2020-11-10,1663.46
2020-11-12,3155.88
2020-11-14,3929.16
2020-11-15,1994.85
2020-11-16,1155.78
2020-11-17,1318.74
2020-11-20,117.87
2020-11-22,1254.56
2020-11-23,541.44
2020-11-25,251.64
2020-11-26,1422.47
2020-11-27,1108.98
2020-11-29,1001.77
2020-12-01,836.83
2020-12-05,884.3299999999999
2020-12-06,1729.41
2020-12-10,2329.2400000000002
2020-12-11,1676.58
2020-12-12,1731.87
2020-12-13,696.8
2020-12-14,2877.88
2020-12-16,1896.2599999999998
2020-12-18,995.7
2020-12-20,1656.0900000000001
2020-12-22,158.91
2020-12-23,2388.75
2020-12-24,1908.74
2020-12-25,1746.04
2020-12-28,1994.88
2020-12-30,1956.89
2020-12-31,892.92
2021-01-01,101.52
2021-01-06,1790.3600000000001
2021-01-08,348.27
2021-01-10,472.06
2021-01-11,518.1
2021-01-13,1438.48
2021-01-14,2627.2400000000002
2021-01-15,53.66
2021-01-17,2378.3500000000004
2021-01-19,1553.72
2021-01-20,445.82
2021-01-26,624.78
2021-01-27,2943.38
2021-01-29,521.37
2021-02-02,1935.09
2021-02-05,1900.5300000000002
2021-02-08,2124.5699999999997
2021-02-09,2251.05
2021-02-11,1468.5100000000002
2021-02-13,1831.36
2021-02-16,1274.45
2021-02-18,1301.99
2021-02-20,241.08
2021-02-21,783.41
2021-02-23,1178.81
2021-02-24,1313.29
2021-02-27,1878.72
2021-02-28,442.37
2021-03-02,1842.84
2021-03-04,1898.53
2021-03-05,1439.5600000000002
2021-03-07,2752.99
2021-03-08,663.83
2021-03-09,1975.18
2021-03-10,228.75
2021-03-12,39.57
2021-03-15,1181.82
2021-03-17,1031.34
2021-03-18,921.5
2021-03-19,1997.19
2021-03-20,1375.33
2021-03-21,156.25
2021-03-22,912.89
2021-03-23,1588.26
2021-03-24,833.49
2021-03-25,837.82
2021-03-27,1907.65
2021-03-28,143.6
2021-03-29,869.43
2021-03-30,1625.42
2021-04-01,1343.33
2021-04-02,1737.5
2021-04-03,2229.46
2021-04-08,3219.45
2021-04-09,1221.9
2021-04-11,1911.48
2021-04-12,1741.03
2021-04-13,148.47
2021-04-18,192.6
2021-04-19,3243.48
2021-04-21,976.47
2021-04-23,1304.51
2021-04-24,1058.6
2021-04-27,2744.05
2021-04-30,25.38
2021-05-02,267.08
2021-05-04,1158.95
2021-05-06,878.08
2021-05-07,3963.51
2021-05-10,1604.63
2021-05-11,1062.38
2021-05-12,797.58
2021-05-14,1476.79
2021-05-17,480.18
2021-05-22,362.52
2021-05-23,933.27
2021-05-24,3980.44
2021-05-25,2614.3
2021-05-27,247.53
2021-05-29,1233.87
2021-05-30,1164.86
2021-05-31,1554.81
2021-06-02,3880.8199999999997
2021-06-06,3539.67
2021-06-09,1580.56
2021-06-11,1241.5300000000002
2021-06-14,673.39
2021-06-15,1834.33
2021-06-16,266.61
2021-06-20,2254.31
2021-06-22,1295.59
2021-06-23,46.28
2021-06-24,690.05
2021-06-26,460.82
2021-06-28,3546.06
2021-06-29,827.61
2021-07-04,4224.06
2021-07-07,1010.78
2021-07-09,3382.88
2021-07-10,1425.69
2021-07-11,1673.94
2021-07-12,1770.41
2021-07-13,115.98
2021-07-14,778.47
