Date,amount
2015-01-02,1526
2015-01-03,1260
2015-01-04,1694
2015-01-05,1530
2015-01-06,1495
2015-01-07,1444
2015-01-08,521
2015-01-09,866
2015-01-10,1638
2015-01-11,730
2015-01-12,487
2015-01-13,1523
2015-01-14,1271
2015-01-15,530
2015-01-16,1732
2015-01-17,1169
2015-01-18,743
2015-01-19,1205
2015-01-20,785
2015-01-21,1615
2015-01-22,1355
2015-01-23,676
2015-01-24,1584
2015-01-25,859
2015-01-26,1737
2015-01-27,421
2015-01-28,652
2015-01-29,1147
2015-01-30,1256
2015-01-31,874
2015-02-01,1482
2015-02-02,910
2015-02-03,1099
2015-02-04,1375
2015-02-05,589
2015-02-06,1357
2015-02-07,1086
2015-02-08,1357
2015-02-09,962
2015-02-10,1667
2015-02-11,1231
2015-02-12,1554
2015-02-13,1046
2015-02-14,420
2015-02-15,1240
2015-02-16,566
2015-02-17,1697
2015-02-18,787
2015-02-19,1000
2015-02-20,715
2015-02-21,413
2015-02-22,641
2015-02-23,1176
2015-02-24,964
2015-02-25,1297
2015-02-26,491
2015-02-27,1355
2015-02-28,908
2015-03-01,1175
2015-03-02,434
2015-03-03,605
2015-03-04,1504
2015-03-05,1425
2015-03-06,1421
2015-03-07,965
2015-03-08,1529
2015-03-09,1102
2015-03-10,801
2015-03-11,1129
2015-03-12,561
2015-03-13,601
2015-03-14,1395
2015-03-15,669
2015-03-16,1215
2015-03-17,1694
2015-03-18,855
2015-03-19,1675
2015-03-20,1416
2015-03-21,695
2015-03-22,1119
2015-03-23,737
2015-03-24,1278
2015-03-25,1476
2015-03-26,1191
2015-03-27,616
2015-03-28,1163
2015-03-29,587
2015-03-30,779
2015-03-31,892
2015-04-01,1464
2015-04-02,1580
2015-04-03,414
2015-04-04,464
2015-04-05,920
2015-04-06,1552
2015-04-07,1047
2015-04-08,1486
2015-04-09,1562
2015-04-10,992
2015-04-11,791
2015-04-12,818
2015-04-13,688
2015-04-14,778
2015-04-15,630
2015-04-16,1417
2015-04-17,440
2015-04-18,1451
2015-04-19,534
2015-04-20,600
2015-04-21,1179
2015-04-22,1329
2015-04-23,1456
2015-04-24,1471
2015-04-25,902
2015-04-26,806
2015-04-27,1204
2015-04-28,498
2015-04-29,1083
2015-04-30,1125
2015-05-01,1360
2015-05-02,1012
2015-05-03,1042
2015-05-04,1428
2015-05-05,1641
2015-05-06,902
2015-05-07,1166
2015-05-08,797
2015-05-09,1270
2015-05-10,1194
2015-05-11,792
2015-05-12,606
2015-05-13,1438
2015-05-14,1291
2015-05-15,1263
2015-05-16,1142
2015-05-17,1664
2015-05-18,963
2015-05-19,1420
2015-05-20,495
2015-05-21,884
2015-05-22,630
2015-05-23,1148
2015-05-24,1594
2015-05-25,940
2015-05-26,1459
2015-05-27,924
2015-05-28,1583
2015-05-29,1666
2015-05-30,1509
2015-05-31,977
2015-06-01,1081
2015-06-02,956
2015-06-03,1412
2015-06-04,1045
2015-06-05,1195
2015-06-06,1451
2015-06-07,1654
2015-06-08,589
2015-06-09,1648
2015-06-10,1706
2015-06-11,1032
2015-06-12,1027
2015-06-13,1372
2015-06-14,1682
2015-06-15,1109
2015-06-16,1048
2015-06-17,717
2015-06-18,1648
2015-06-19,1657
2015-06-20,1083
2015-06-21,1063
2015-06-22,1656
2015-06-23,1536
2015-06-24,841
2015-06-25,963
2015-06-26,1691
2015-06-27,1536
2015-06-28,1351
2015-06-29,1504
2015-06-30,1098
2015-07-01,512
2015-07-02,401
2015-07-03,1041
2015-07-04,619
2015-07-05,1254
2015-07-06,1648
2015-07-07,784
2015-07-08,1553
2015-07-09,1476
2015-07-10,1129
2015-07-11,646
2015-07-12,1235
2015-07-13,602
2015-07-14,1607
2015-07-15,522
2015-07-16,800
2015-07-17,1166
2015-07-18,693
2015-07-19,679
2015-07-20,1283
2015-07-21,597
2015-07-22,1381
2015-07-23,1151
2015-07-24,543
2015-07-25,1008
2015-07-26,1624
2015-07-27,1547
2015-07-28,586
2015-07-29,1749
2015-07-30,863
2015-07-31,1059
2015-08-01,1163
2015-08-02,1354
2015-08-03,802
2015-08-04,546
2015-08-05,1571
2015-08-06,1263
2015-08-07,888
2015-08-08,1328
2015-08-09,950
2015-08-10,737
2015-08-11,1271
2015-08-12,1040
2015-08-13,872
2015-08-14,550
2015-08-15,1721
2015-08-16,662
2015-08-17,543
2015-08-18,745
2015-08-19,1023
2015-08-20,1416
2015-08-21,1280
2015-08-22,401
2015-08-23,1296
2015-08-24,1727
2015-08-25,653
2015-08-26,852
2015-08-27,1460
2015-08-28,1583
2015-08-29,1414
2015-08-30,408
2015-08-31,1656
2015-09-01,1522
2015-09-02,1215
2015-09-03,607
2015-09-04,1554
2015-09-05,803
2015-09-06,551
2015-09-07,453
2015-09-08,1543
2015-09-09,1027
2015-09-10,986
2015-09-11,503
2015-09-12,653
2015-09-13,1650
2015-09-14,1535
2015-09-15,909
2015-09-16,498
2015-09-17,552
2015-09-18,1313
2015-09-19,1277
2015-09-20,737
2015-09-21,1221
2015-09-22,1586
2015-09-23,1356
2015-09-24,560
2015-09-25,1200
2015-09-26,797
2015-09-27,1700
2015-09-28,1215
2015-09-29,1558
2015-09-30,1618
2015-10-01,800
2015-10-02,1039
2015-10-03,1456
2015-10-04,1087
2015-10-05,859
2015-10-06,1354
2015-10-07,869
2015-10-08,1445
2015-10-09,1149
2015-10-10,437
2015-10-11,629
2015-10-12,962
2015-10-13,837
2015-10-14,1706
2015-10-15,426
2015-10-16,625
2015-10-17,1700
2015-10-18,1197
2015-10-19,683
2015-10-20,1278
2015-10-21,1359
2015-10-22,852
2015-10-23,1419
2015-10-24,1215
2015-10-25,1058
2015-10-26,946
2015-10-27,1615
2015-10-28,1472
2015-10-29,416
2015-10-30,1595
2015-10-31,1643
2015-11-01,557
2015-11-02,876
2015-11-03,1469
2015-11-04,917
2015-11-05,498
2015-11-06,1460
2015-11-07,679
2015-11-08,896
2015-11-09,701
2015-11-10,580
2015-11-11,1006
2015-11-12,1522
2015-11-13,1099
2015-11-14,1392
2015-11-15,1539
2015-11-16,590
2015-11-17,652
2015-11-18,1380
2015-11-19,1327
2015-11-20,1584
2015-11-21,1679
2015-11-22,1746
2015-11-23,527
2015-11-24,417
2015-11-25,965
2015-11-26,969
2015-11-27,1746
2015-11-28,1085
2015-11-29,1025
2015-11-30,1711
2015-12-01,1253
2015-12-02,1361
2015-12-03,554
2015-12-04,889
2015-12-05,1184
2015-12-06,1527
2015-12-07,645
2015-12-08,1599
2015-12-09,1462
2015-12-10,1158
2015-12-11,937
2015-12-12,1320
2015-12-13,807
2015-12-14,924
2015-12-15,1227
2015-12-16,1302
2015-12-17,435
2015-12-18,1084
2015-12-19,419
2015-12-20,720
2015-12-21,911
2015-12-22,799
2015-12-23,1053
2015-12-24,1371
2015-12-25,870
2015-12-26,1566
2015-12-27,1515
2015-12-28,1233
2015-12-29,1126
2015-12-30,1253
2015-12-31,450
2016-01-01,974
2016-01-02,1613
2016-01-03,1548
2016-01-04,549
2016-01-05,713
2016-01-06,969
2016-01-07,704
2016-01-08,1081
2016-01-09,1237
2016-01-10,1477
2016-01-11,1402
2016-01-12,843
2016-01-13,1012
2016-01-14,1392
2016-01-15,663
2016-01-16,1476
2016-01-17,1403
2016-01-18,404
2016-01-19,1526
2016-01-20,1619
2016-01-21,1173
2016-01-22,1276
2016-01-23,1391
2016-01-24,1283
2016-01-25,446
2016-01-26,1266
2016-01-27,1222
2016-01-28,1335
2016-01-29,1055
2016-01-30,668
2016-01-31,769
2016-02-01,1035
2016-02-02,1529
2016-02-03,1056
2016-02-04,519
2016-02-05,1230
2016-02-06,1481
2016-02-07,1140
2016-02-08,516
2016-02-09,1190
2016-02-10,1550
2016-02-11,1412
2016-02-12,1481
2016-02-13,1033
2016-02-14,912
2016-02-15,1201
2016-02-16,1519
2016-02-17,1541
2016-02-18,959
2016-02-19,887
2016-02-20,1660
2016-02-21,1296
2016-02-22,1695
2016-02-23,1612
2016-02-24,1103
2016-02-25,980
2016-02-26,1189
2016-02-27,1260
2016-02-28,646
2016-02-29,1499
2016-03-01,553
2016-03-02,1396
2016-03-03,1509
2016-03-04,1096
2016-03-05,1708
2016-03-06,1643
2016-03-07,1492
2016-03-08,1470
2016-03-09,1408
2016-03-10,493
2016-03-11,1357
2016-03-12,1411
2016-03-13,852
2016-03-14,1627
2016-03-15,1311
2016-03-16,617
2016-03-17,873
2016-03-18,831
2016-03-19,740
2016-03-20,950
2016-03-21,1712
2016-03-22,1677
2016-03-23,756
2016-03-24,422
2016-03-25,921
2016-03-26,1523
2016-03-27,1201
2016-03-28,1603
2016-03-29,1646
2016-03-30,1161
2016-03-31,841
2016-04-01,1168
2016-04-02,1415
2016-04-03,1748
2016-04-04,915
2016-04-05,1439
2016-04-06,1191
2016-04-07,735
2016-04-08,657
2016-04-09,896
2016-04-10,1295
2016-04-11,559
2016-04-12,1251
2016-04-13,1089
2016-04-14,779
2016-04-15,1356
2016-04-16,1090
2016-04-17,1691
2016-04-18,1591
2016-04-19,1466
2016-04-20,684
2016-04-21,796
2016-04-22,411
2016-04-23,1725
2016-04-24,1676
2016-04-25,898
2016-04-26,1153
2016-04-27,434
2016-04-28,1126
2016-04-29,1248
2016-04-30,489
2016-05-01,1175
2016-05-02,1004
2016-05-03,1369
2016-05-04,1421
2016-05-05,817
2016-05-06,514
2016-05-07,1016
2016-05-08,1619
2016-05-09,1225
2016-05-10,1498
2016-05-11,812
2016-05-12,1128
2016-05-13,1700
2016-05-14,1420
2016-05-15,1160
2016-05-16,1075
2016-05-17,856
2016-05-18,1319
2016-05-19,591
2016-05-20,1138
2016-05-21,1522
2016-05-22,1377
2016-05-23,1408
2016-05-24,495
2016-05-25,1062
2016-05-26,1613
2016-05-27,436
2016-05-28,678
2016-05-29,616
2016-05-30,1266
2016-05-31,1272
2016-06-01,1696
2016-06-02,461
2016-06-03,995
2016-06-04,1128
2016-06-05,796
2016-06-06,1098
2016-06-07,1442
2016-06-08,576
2016-06-09,795
2016-06-10,844
2016-06-11,1656
2016-06-12,475
2016-06-13,664
2016-06-14,854
2016-06-15,1117
2016-06-16,1134
2016-06-17,1250
2016-06-18,543
2016-06-19,1284
2016-06-20,1492
2016-06-21,1522
2016-06-22,795
2016-06-23,1448
2016-06-24,1347
2016-06-25,1290
2016-06-26,1574
2016-06-27,1567
2016-06-28,968
2016-06-29,1462
2016-06-30,508
2016-07-01,1465
2016-07-02,1609
2016-07-03,1334
2016-07-04,797
2016-07-05,1646
2016-07-06,1033
2016-07-07,1556
2016-07-08,1586
2016-07-09,1638
2016-07-10,1132
2016-07-11,634
2016-07-12,1057
2016-07-13,1150
2016-07-14,987
2016-07-15,1432
2016-07-16,1497
2016-07-17,1353
2016-07-18,891
2016-07-19,1312
2016-07-20,1676
2016-07-21,1653
2016-07-22,1597
2016-07-23,1591
2016-07-24,569
2016-07-25,1345
2016-07-26,1194
2016-07-27,1033
2016-07-28,1617
2016-07-29,428
2016-07-30,1588
2016-07-31,738
2016-08-01,899
2016-08-02,910
2016-08-03,1750
2016-08-04,616
2016-08-05,1724
2016-08-06,1555
2016-08-07,1493
2016-08-08,1675
2016-08-09,844
2016-08-10,1275
2016-08-11,1605
2016-08-12,566
2016-08-13,490
2016-08-14,1113
2016-08-15,438
2016-08-16,1549
2016-08-17,572
2016-08-18,1052
2016-08-19,1153
2016-08-20,1643
2016-08-21,1481
2016-08-22,875
2016-08-23,855
2016-08-24,1228
2016-08-25,1294
2016-08-26,1424
2016-08-27,786
2016-08-28,747
2016-08-29,589
2016-08-30,904
2016-08-31,1614
2016-09-01,1223
2016-09-02,1328
2016-09-03,1333
2016-09-04,1540
2016-09-05,533
2016-09-06,457
2016-09-07,1084
2016-09-08,1071
2016-09-09,572
2016-09-10,1214
2016-09-11,1572
2016-09-12,479
2016-09-13,1285
2016-09-14,1636
2016-09-15,602
2016-09-16,1163
2016-09-17,1652
2016-09-18,1650
2016-09-19,446
2016-09-20,1656
2016-09-21,1728
2016-09-22,1566
2016-09-23,1682
2016-09-24,1055
2016-09-25,870
2016-09-26,1370
2016-09-27,1435
2016-09-28,1135
2016-09-29,1183
2016-09-30,1367
2016-10-01,757
2016-10-02,1371
2016-10-03,1067
2016-10-04,772
2016-10-05,1431
2016-10-06,1545
2016-10-07,1075
2016-10-08,489
2016-10-09,1097
2016-10-10,1739
2016-10-11,1601
2016-10-12,939
2016-10-13,1131
2016-10-14,1268
2016-10-15,440
2016-10-16,1139
2016-10-17,901
2016-10-18,1358
2016-10-19,1568
2016-10-20,1624
2016-10-21,1328
2016-10-22,860
2016-10-23,1131
2016-10-24,1151
2016-10-25,1324
2016-10-26,1308
2016-10-27,1676
2016-10-28,789
2016-10-29,1282
2016-10-30,655
2016-10-31,1108
2016-11-01,849
2016-11-02,409
2016-11-03,1223
2016-11-04,1197
2016-11-05,1665
2016-11-06,1674
2016-11-07,1276
2016-11-08,1428
2016-11-09,1542
2016-11-10,1415
2016-11-11,773
2016-11-12,1488
2016-11-13,545
2016-11-14,623
2016-11-15,1662
2016-11-16,576
2016-11-17,1252
2016-11-18,1705
2016-11-19,462
2016-11-20,1640
2016-11-21,1226
2016-11-22,1194
2016-11-23,1088
2016-11-24,504
2016-11-25,1522
2016-11-26,910
2016-11-27,784
2016-11-28,804
2016-11-29,1222
2016-11-30,917
2016-12-01,875
2016-12-02,1108
2016-12-03,1170
2016-12-04,1446
2016-12-05,1396
2016-12-06,1076
2016-12-07,1113
2016-12-08,482
2016-12-09,1568
2016-12-10,1508
2016-12-11,1501
2016-12-12,856
2016-12-13,400
2016-12-14,450
2016-12-15,1084
2016-12-16,1116
2016-12-17,848
2016-12-18,1280
2016-12-19,887
2016-12-20,433
2016-12-21,494
2016-12-22,1495
2016-12-23,553
2016-12-24,649
2016-12-25,1073
2016-12-26,837
2016-12-27,517
2016-12-28,1170
2016-12-29,1729
2016-12-30,667
2016-12-31,1477
2017-01-01,635
2017-01-02,788
2017-01-03,1389
2017-01-04,1162
2017-01-05,800
2017-01-06,1023
2017-01-07,1166
2017-01-08,1726
2017-01-09,1318
2017-01-10,1630
2017-01-11,1652
2017-01-12,1252
2017-01-13,977
2017-01-14,474
2017-01-15,834
2017-01-16,502
2017-01-17,1163
2017-01-18,1137
2017-01-19,1205
2017-01-20,1729
2017-01-21,497
2017-01-22,1197
2017-01-23,1258
2017-01-24,834
2017-01-25,846
2017-01-26,1731
2017-01-27,648
2017-01-28,565
2017-01-29,1383
2017-01-30,1419
2017-01-31,941
2017-02-01,1158
2017-02-02,1529
2017-02-03,480
2017-02-04,532
2017-02-05,1196
2017-02-06,1299
2017-02-07,537
2017-02-08,583
2017-02-09,1184
2017-02-10,1383
2017-02-11,468
2017-02-12,945
2017-02-13,452
2017-02-14,604
2017-02-15,525
2017-02-16,442
2017-02-17,510
2017-02-18,1160
2017-02-19,1606
2017-02-20,1247
2017-02-21,494
2017-02-22,1299
2017-02-23,759
2017-02-24,1299
2017-02-25,680
2017-02-26,1618
2017-02-27,1618
2017-02-28,1066
2017-03-01,492
2017-03-02,1071
2017-03-03,460
2017-03-04,1033
2017-03-05,1474
2017-03-06,1428
2017-03-07,1003
2017-03-08,1081
2017-03-09,933
2017-03-10,1237
2017-03-11,1044
2017-03-12,632
2017-03-13,923
2017-03-14,745
2017-03-15,1469
2017-03-16,945
2017-03-17,1501
2017-03-18,1496
2017-03-19,1193
2017-03-20,648
2017-03-21,446
2017-03-22,1544
2017-03-23,613
2017-03-24,638
2017-03-25,1479
2017-03-26,749
2017-03-27,506
2017-03-28,1230
2017-03-29,447
2017-03-30,736
2017-03-31,1449
2017-04-01,1203
2017-04-02,1680
2017-04-03,407
2017-04-04,1024
2017-04-05,1676
2017-04-06,1118
2017-04-07,702
2017-04-08,1038
2017-04-09,455
2017-04-10,1125
2017-04-11,925
2017-04-12,873
2017-04-13,427
2017-04-14,477
2017-04-15,1639
2017-04-16,764
2017-04-17,1065
2017-04-18,925
2017-04-19,1098
2017-04-20,1735
2017-04-21,1282
2017-04-22,1430
2017-04-23,1426
2017-04-24,1318
2017-04-25,1149
2017-04-26,762
2017-04-27,1697
2017-04-28,1205
2017-04-29,1138
2017-04-30,1438
2017-05-01,1615
2017-05-02,884
2017-05-03,427
2017-05-04,1113
2017-05-05,1462
2017-05-06,1696
2017-05-07,1654
2017-05-08,485
2017-05-09,525
2017-05-10,1211
2017-05-11,936
2017-05-12,544
2017-05-13,1635
2017-05-14,424
2017-05-15,466
2017-05-16,632
2017-05-17,508
2017-05-18,1569
2017-05-19,510
2017-05-20,627
2017-05-21,510
2017-05-22,433
2017-05-23,1022
2017-05-24,1147
2017-05-25,994
2017-05-26,824
2017-05-27,1012
2017-05-28,1091
2017-05-29,1705
2017-05-30,1743
2017-05-31,714
2017-06-01,1276
2017-06-02,1712
2017-06-03,1061
2017-06-04,676
2017-06-05,1023
2017-06-06,915
2017-06-07,1242
2017-06-08,749
2017-06-09,1222
2017-06-10,1560
2017-06-11,1158
2017-06-12,1298
2017-06-13,642
2017-06-14,942
2017-06-15,1463
2017-06-16,628
2017-06-17,947
2017-06-18,1319
2017-06-19,1646
2017-06-20,405
2017-06-21,1745
2017-06-22,867
2017-06-23,474
2017-06-24,403
2017-06-25,1045
2017-06-26,517
2017-06-27,1280
2017-06-28,903
2017-06-29,1346
2017-06-30,973
2017-07-01,593
2017-07-02,1246
2017-07-03,1114
2017-07-04,1449
2017-07-05,572
2017-07-06,1723
2017-07-07,725
2017-07-08,1541
2017-07-09,1235
2017-07-10,1123
2017-07-11,624
2017-07-12,931
2017-07-13,512
2017-07-14,539
2017-07-15,958
2017-07-16,400
2017-07-17,489
2017-07-18,1053
2017-07-19,719
2017-07-20,538
2017-07-21,1244
2017-07-22,658
2017-07-23,1301
2017-07-24,1089
2017-07-25,409
2017-07-26,660
2017-07-27,571
2017-07-28,1297
2017-07-29,412
2017-07-30,1591
2017-07-31,720
2017-08-01,1742
2017-08-02,728
2017-08-03,1184
2017-08-04,1176
2017-08-05,1310
2017-08-06,1518
2017-08-07,717
2017-08-08,635
2017-08-09,733
2017-08-10,775
2017-08-11,1560
2017-08-12,987
2017-08-13,912
2017-08-14,1719
2017-08-15,1743
2017-08-16,1317
2017-08-17,1272
2017-08-18,1652
2017-08-19,669
2017-08-20,1197
2017-08-21,1714
2017-08-22,1124
2017-08-23,1588
2017-08-24,404
2017-08-25,1250
2017-08-26,477
2017-08-27,973
2017-08-28,531
2017-08-29,1000
2017-08-30,1465
2017-08-31,488
2017-09-01,801
2017-09-02,695
2017-09-03,1718
2017-09-04,1015
2017-09-05,1199
2017-09-06,821
2017-09-07,1446
2017-09-08,974
2017-09-09,542
2017-09-10,1392
2017-09-11,1064
2017-09-12,544
2017-09-13,1648
2017-09-14,1406
2017-09-15,902
2017-09-16,1220
2017-09-17,503
2017-09-18,1462
2017-09-19,597
2017-09-20,978
2017-09-21,790
2017-09-22,1602
2017-09-23,953
2017-09-24,1438
2017-09-25,1712
2017-09-26,877
2017-09-27,1654
2017-09-28,1322
2017-09-29,819
2017-09-30,556
2017-10-01,949
2017-10-02,1520
2017-10-03,1420
2017-10-04,1396
2017-10-05,1350
2017-10-06,688
2017-10-07,1677
2017-10-08,595
2017-10-09,997
2017-10-10,916
2017-10-11,1264
2017-10-12,1541
2017-10-13,1205
2017-10-14,1582
2017-10-15,1214
2017-10-16,627
2017-10-17,615
2017-10-18,1347
2017-10-19,414
2017-10-20,1580
2017-10-21,1684
2017-10-22,1580
2017-10-23,446
2017-10-24,723
2017-10-25,1243
2017-10-26,529
2017-10-27,494
2017-10-28,1026
2017-10-29,1154
2017-10-30,1715
2017-10-31,1193
2017-11-01,1706
2017-11-02,468
2017-11-03,410
2017-11-04,1677
2017-11-05,1271
2017-11-06,949
2017-11-07,1557
2017-11-08,1111
2017-11-09,422
2017-11-10,1214
2017-11-11,745
2017-11-12,701
2017-11-13,762
2017-11-14,795
2017-11-15,617
2017-11-16,540
2017-11-17,1357
2017-11-18,1633
2017-11-19,1384
2017-11-20,1392
2017-11-21,1227
2017-11-22,1082
2017-11-23,1403
2017-11-24,755
2017-11-25,1407
2017-11-26,1747
2017-11-27,1556
2017-11-28,1287
2017-11-29,526
2017-11-30,1529
2017-12-01,1408
2017-12-02,1003
2017-12-03,1413
2017-12-04,450
2017-12-05,1452
2017-12-06,1719
2017-12-07,1720
2017-12-08,1178
2017-12-09,1213
2017-12-10,819
2017-12-11,1605
2017-12-12,1382
2017-12-13,1224
2017-12-14,1424
2017-12-15,966
2017-12-16,770
2017-12-17,1335
2017-12-18,1060
2017-12-19,1368
2017-12-20,1732
2017-12-21,1560
2017-12-22,601
2017-12-23,712
2017-12-24,516
2017-12-25,1336
2017-12-26,974
2017-12-27,643
2017-12-28,936
2017-12-29,474
2017-12-30,785
2017-12-31,1633
2018-01-01,874
2018-01-02,817
2018-01-03,746
2018-01-04,1039
2018-01-05,1338
2018-01-06,1354
2018-01-07,1275
2018-01-08,1162
2018-01-09,1602
2018-01-10,1605
2018-01-11,1063
2018-01-12,424
2018-01-13,1603
2018-01-14,1109
2018-01-15,1584
2018-01-16,576
2018-01-17,684
2018-01-18,462
2018-01-19,1402
2018-01-20,1061
2018-01-21,1065
2018-01-22,555
2018-01-23,1472
2018-01-24,1366
2018-01-25,1248
2018-01-26,1507
2018-01-27,1088
2018-01-28,547
2018-01-29,741
2018-01-30,875
2018-01-31,1486
2018-02-01,960
2018-02-02,726
2018-02-03,1564
2018-02-04,1389
2018-02-05,614
2018-02-06,834
2018-02-07,1351
2018-02-08,1122
2018-02-09,1741
2018-02-10,431
2018-02-11,1069
2018-02-12,684
2018-02-13,1728
2018-02-14,828
2018-02-15,685
2018-02-16,1567
2018-02-17,1442
2018-02-18,417
2018-02-19,1168
2018-02-20,989
2018-02-21,1598
2018-02-22,1409
2018-02-23,593
2018-02-24,901
2018-02-25,1387
2018-02-26,1536
2018-02-27,513
2018-02-28,1645
2018-03-01,1346
2018-03-02,1230
2018-03-03,1687
2018-03-04,1324
2018-03-05,454
2018-03-06,1199
2018-03-07,1177
2018-03-08,561
2018-03-09,486
2018-03-10,454
2018-03-11,1601
2018-03-12,1431
2018-03-13,1232
2018-03-14,712
2018-03-15,1158
2018-03-16,842
2018-03-17,727
2018-03-18,1477
2018-03-19,1160
2018-03-20,1662
2018-03-21,1652
2018-03-22,978
2018-03-23,1474
2018-03-24,1406
2018-03-25,1687
2018-03-26,495
2018-03-27,1511
2018-03-28,1501
2018-03-29,1711
2018-03-30,1543
2018-03-31,1213
2018-04-01,890
2018-04-02,851
2018-04-03,564
2018-04-04,581
2018-04-05,868
2018-04-06,1309
2018-04-07,1134
2018-04-08,1222
2018-04-09,1343
2018-04-10,406
2018-04-11,729
2018-04-12,1174
2018-04-13,550
2018-04-14,1508
2018-04-15,546
2018-04-16,1314
2018-04-17,1708
2018-04-18,1099
2018-04-19,481
2018-04-20,913
2018-04-21,1214
2018-04-22,1108
2018-04-23,1145
2018-04-24,1422
2018-04-25,1106
2018-04-26,870
2018-04-27,1542
2018-04-28,795
2018-04-29,660
2018-04-30,1204
2018-05-01,1333
2018-05-02,1679
2018-05-03,1304
2018-05-04,1649
2018-05-05,1476
2018-05-06,1339
2018-05-07,1253
2018-05-08,1703
2018-05-09,992
2018-05-10,1113
2018-05-11,1581
2018-05-12,1031
2018-05-13,458
2018-05-14,527
2018-05-15,1135
2018-05-16,1120
2018-05-17,1538
2018-05-18,1632
2018-05-19,925
2018-05-20,920
2018-05-21,951
2018-05-22,636
2018-05-23,1704
2018-05-24,1624
2018-05-25,1701
2018-05-26,1658
2018-05-27,893
2018-05-28,403
2018-05-29,1065
2018-05-30,841
2018-05-31,428
2018-06-01,1532
2018-06-02,1009
2018-06-03,1204
2018-06-04,474
2018-06-05,1237
2018-06-06,1569
2018-06-07,527
2018-06-08,441
2018-06-09,440
2018-06-10,1333
2018-06-11,433
2018-06-12,1440
2018-06-13,1576
2018-06-14,1397
2018-06-15,987
2018-06-16,741
2018-06-17,426
2018-06-18,1710
2018-06-19,1045
2018-06-20,1130
2018-06-21,567
2018-06-22,1009
2018-06-23,667
2018-06-24,1220
2018-06-25,854
2018-06-26,1305
2018-06-27,1321
2018-06-28,1380
2018-06-29,1101
2018-06-30,1033
2018-07-01,529
2018-07-02,1419
2018-07-03,1218
2018-07-04,1092
2018-07-05,1715
2018-07-06,1193
2018-07-07,428
2018-07-08,548
2018-07-09,1719
2018-07-10,410
2018-07-11,1075
2018-07-12,1536
2018-07-13,586
2018-07-14,1206
2018-07-15,1143
2018-07-16,1650
2018-07-17,1733
2018-07-18,497
2018-07-19,454
2018-07-20,1022
2018-07-21,1063
2018-07-22,1157
2018-07-23,805
2018-07-24,468
2018-07-25,1735
2018-07-26,1712
2018-07-27,1150
2018-07-28,1571
2018-07-29,1667
2018-07-30,1357
2018-07-31,764
2018-08-01,881
2018-08-02,600
2018-08-03,553
2018-08-04,472
2018-08-05,1112
2018-08-06,695
2018-08-07,1440
2018-08-08,1640
2018-08-09,460
2018-08-10,1338
2018-08-11,441
2018-08-12,424
2018-08-13,1462
2018-08-14,530
2018-08-15,1652
2018-08-16,507
2018-08-17,571
2018-08-18,501
